ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,avg_rating,duel_win,dribble_success,tackle_success,passes_per_90,minutes_played,matches_played
Raphael Guerreiro,Defender,Portugal,7.05,0.57377,0.769231,0.5,49.577465,639,9
Mohammed Al-Owais,Goalkeeper,Saudi Arabia,7.271428571428571,0.888889,,,27.857143,630,9
William Carvalho,Midfielder,Portugal,6.8625,0.630435,1,0.785714,66.794425,574,9
Charles De Ketelaere,Forward,Belgium,6.95,0.5,0.428571,0.666667,25.923913,368,9
Teun Koopmeiners,Midfielder,Netherlands,6.7444444444444445,0.5,1,0.428571,45.526316,342,9
Leandro Trossard,Forward,Belgium,7.177777777777777,0.4375,0.526316,0.285714,37.352941,612,9
Juan Fernando Quintero,Midfielder,Colombia,7.3625,0.458333,0.428571,0.5,54.168618,427,9
Mehdi Taremi,Forward,Iran,6.877777777777777,0.464,0.3125,0.636364,25.204918,732,9
Pepe,Defender,Portugal,7.075,0.662162,1,0.454545,57.375,720,9
Frenkie de Jong,Midfielder,Netherlands,7.199999999999999,0.647887,0.571429,0.571429,65.910781,807,9
Kristoffer Nordfeldt,Goalkeeper,Sweden,6,,,,29.358289,187,9
Memphis Depay,Forward,Netherlands,6.5625,0.275,0.2,1,34.615385,351,9
Nathan Aké,Defender,Netherlands,6.825,0.553191,,0.571429,63.235747,649,9
Mathew Leckie,Midfielder,Australia,6.3,0.450382,0.333333,0.666667,25.097451,667,9
Mohamed Kanno,Midfielder,Saudi Arabia,6.8999999999999995,0.525641,0.666667,0.466667,46.764706,510,9
João Mário,Midfielder,Portugal,6.533333333333334,0.4375,0.5,0.666667,49.550562,356,9
Daizen Maeda,Forward,Japan,6.933333333333334,0.435897,,0.555556,9.883178,428,8
Martín Cáceres,Defender,Uruguay,6.6499999999999995,0.4,0.8,0.666667,44.5,540,8
Sebastián Coates,Defender,Uruguay,6.8,0.52381,,,51.333333,270,8
Hiroki Itō,Defender,Japan,6.7,0.375,,0.5,55.777778,405,8
Ritsu Doan,Midfielder,Japan,6.9,0.469388,0.363636,0.6,23.76,500,8
Dani Carvajal,Defender,Spain,6.8,0.37931,0.4,0.4,66.082192,365,8
Daichi Kamada,Midfielder,Japan,6.7375,0.461538,0.625,0.545455,41.083969,655,8
Eiji Kawashima,Goalkeeper,Japan,6.675,,,,23.75,360,8
Michael Olise,Midfielder,France,7.35,0.51087,0.428571,0.533333,55.688351,661,8
Mikel Oyarzabal,Forward,Spain,7.1125,0.413043,0.5,0.833333,22.46281,605,8
Alexis Vega,Midfielder,Mexico,6.55,0.307692,0.333333,,26.213592,206,8
Jonathan David,Forward,Canada,6.6625000000000005,0.291667,,0.4,24.371941,613,8
Djed Spence,Defender,England,6.9375,0.62,0.6,0.555556,37.951807,415,8
Manu Koné,Midfielder,France,6.840000000000001,0.45,0.111111,0.625,60.075567,397,8
Maya Yoshida,Defender,Japan,6.8875,0.622951,0.5,0.666667,62.76,750,8
Lamine Yamal,Midfielder,Spain,7.1875,0.456311,0.529412,0.818182,39.219512,615,8
Christian Pulišić,Forward,USA,7.025,0.467532,0.37931,0.25,31.558442,539,8
Luis Romo,Defender,Mexico,6.95,0.518519,0.333333,0.666667,36.268657,268,8
Tajon Buchanan,Midfielder,Canada,6.3625,0.367347,0.342857,0.75,22.429907,642,8
Morgan Rogers,Midfielder,England,6.671428571428572,0.470588,0.571429,0.6,30.687679,349,8
Junya Ito,Midfielder,Japan,6.725,0.4375,0.157895,0.545455,25.594796,538,8
Luis Chávez,Midfielder,Mexico,7.175000000000001,0.5,0.5,0.5,45,294,8
Marco Asensio,Midfielder,Spain,6.685714285714285,0.363636,0.5,0.5,42.631579,361,8
Ezri Konsa,Defender,England,6.8125,0.622222,0.666667,1,63.681818,660,8
Giuliano Simeone,Midfielder,Argentina,6.233333333333333,0.37037,,0.5,40.569948,193,8
Mikel Merino,Midfielder,Spain,6.875,0.512195,,0.666667,45.428571,210,8
Raphinha,Midfielder,Brazil,6.8428571428571425,0.381818,0.25,0.75,33.825503,447,8
Pedro Porro,Defender,Spain,7.466666666666666,0.551724,0.5,0.785714,57.606383,564,8
Nico O'Reilly,Defender,England,6.5,0.533333,0.625,0.5,39.935065,462,8
Bradley Barcola,Forward,France,7.1375,0.510638,0.571429,0.8,29.0625,384,8
Elliot Anderson,Midfielder,England,7.15,0.632184,1,0.9,64.305994,634,8
Haris Seferović,Forward,Switzerland,6.55,0.307692,,,15.428571,210,8
Wataru Endo,Midfielder,Japan,6.925,0.530612,0.333333,0.5,54.983923,311,8
Maxence Lacroix,Defender,France,6.8,0.481481,1,0.666667,50.625,240,8
Marc Guéhi,Defender,England,7.075,0.707317,0.666667,0.5,70.733138,682,8
Jordi Alba,Defender,Spain,7.0625,0.4375,0.714286,0.7,96.722561,656,8
Fabián Ruiz,Midfielder,Spain,6.914285714285714,0.75,,0.571429,79.39577,331,8
Lucas Torreira,Midfielder,Uruguay,6.840000000000001,0.461538,0.5,0.5,43.815789,304,8
Richie Laryea,Defender,Canada,7.0125,0.631579,0.545455,0.769231,33.293919,592,8
Gaku Shibasaki,Midfielder,Japan,7.175,0.454545,0.666667,0.75,61.231672,341,8
Gabriel Jesus,Forward,Brazil,6.85,0.492308,0.5,0.875,22.455446,505,8
Harry Souttar,Defender,Australia,7,0.656716,,,45.416116,757,8
Alireza Beiranvand,Goalkeeper,Iran,7.3,,1,,23.815385,650,8
Nicolas Jackson,Forward,Senegal,6.5200000000000005,0.352941,0.25,1,21.24,250,8
Mohamed Salah,Midfielder,Egypt,7.085714285714286,0.432432,0.478261,,25.164474,608,8
Alex Baena,Midfielder,Spain,7.071428571428571,0.395833,0.285714,0.555556,40.102669,487,8
Saeid Ezatolahi,Midfielder,Iran,6.7875,0.505495,1,0.5,31.895223,649,8
Nicolás González,Midfielder,Argentina,6.785714285714286,0.575,0.444444,0.6,39.130435,253,8
Noni Madueke,Forward,England,7.0200000000000005,0.5,0.384615,0.8,28.4375,288,8
Pau Cubarsí,Defender,Spain,7.5625,0.577778,,0.571429,83.88,750,8
Alex Sandro,Defender,Brazil,7.05,0.7,0.5,0.375,70.100503,199,8
Roberto Alvarado,Forward,Mexico,7.166666666666667,0.552632,0.777778,0.375,39.130435,460,8
