ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,minutes_played,goals,xg,assists,xa,matches_played
Amine Gouiri,Forward,Algeria,260,1,0.408,0,0.069,4
Farès Chaïbi,Midfielder,Algeria,367,0,0.404,0,0.17099999999999999,4
Julio Enciso,Midfielder,Paraguay,387,1,0.403,2,0.268,5
Leandro Bacuna,Midfielder,Curaçao,270,0,0.397,0,0.074,3
Aymeric Laporte,Defender,Spain,1028,0,0.394,1,0.409,12
John McGinn,Midfielder,Scotland,261,1,0.392,0,0.392,3
Iñaki Williams,Midfielder,Ghana,380,0,0.387,1,0.064,7
Jae-sung Lee,Midfielder,South Korea,603,0,0.383,1,0.422,10
Daley Blind,Defender,Netherlands,424,1,0.381,1,0.39799999999999996,5
Keysher Fuller,Midfielder,Costa Rica,254,1,0.381,0,0.123,3
Felix Nmecha,Midfielder,Germany,272,1,0.378,1,0.525,4
Hakim Ziyech,Midfielder,Morocco,903,1,0.374,1,0.495,10
Harry Maguire,Defender,England,1075,1,0.374,2,0.087,12
Mauricio,Midfielder,Paraguay,183,1,0.37,0,0.171,5
Ibrahima Konaté,Defender,France,355,0,0.368,0,0.296,15
Anthony Elanga,Forward,Sweden,221,2,0.367,0,0.113,4
Mohammed Al-Burayk,Defender,Saudi Arabia,336,0,0.366,0,0.083,5
Yan Diomande,Forward,Côte d'Ivoire,331,0,0.366,1,1.789,4
Sergiño Dest,Defender,USA,607,0,0.366,1,0.968,9
Raheem Sterling,Forward,England,604,1,0.366,2,0.062,11
Jakub Kamiński,Midfielder,Poland,233,0,0.366,0,0.38,4
Andreas Christensen,Defender,Denmark,576,1,0.364,0,0.043000000000000003,7
Kang-in Lee,Midfielder,South Korea,429,0,0.363,2,0.9339999999999999,7
Hans Vanaken,Midfielder,Belgium,329,1,0.362,2,0.5569999999999999,9
Gabriel Jesus,Forward,Brazil,505,0,0.362,1,0.068,8
Pathé Ismaël Ciss,Midfielder,Senegal,336,0,0.357,0,0.057,8
Mitchell Duke,Forward,Australia,274,1,0.356,0,0.016,4
Merih Demiral,Defender,Türkiye,187,0,0.35500000000000004,0,0.173,3
Hakan Çalhanoğlu,Midfielder,Türkiye,187,0,0.355,0,0.6859999999999999,3
Iliman Ndiaye,Midfielder,Senegal,259,1,0.351,3,0.393,8
